timestamp;10_14;12_18;3_33;3_34;3_35;3_52;3_59;3_6;3_69;3_70;3_71;4_17;4_20;4_24;5_14;5_20;6_10;6_20;6_28;6_8;6_9;7_16;7_25;7_4;8_1;8_15;9_4
2011-04-30;;;;;;;;;;;;9.819498746867168;;;9.524526954732512;7.207012731481481;;;6.977486111111111;;;;;;;;8.820601851851851
2011-05-31;;;;;;;;;;;;9.955367383512545;;;8.897989191308243;8.356488575268816;;;8.076183542413382;;;;;;;;8.203354468599034
2011-06-30;;;;;;;;;;;;9.133197916666667;;8.401835648148149;8.247698013117285;8.54726099537037;;;8.350813271604938;;;;;;;;7.570717592592593
2011-07-31;;6.620242099898063;;;;;8.205757168458781;;;;;9.85052979390681;;9.210564516129033;9.800655241935484;9.252037970430107;;;8.84270683990442;;;7.749106182795699;;;;;9.0146729390681
2011-08-31;;8.365828853046594;;;;;9.08266129032258;;;;;9.975426747311827;;9.65760528673835;9.489727075866188;9.808206205197132;;;9.503761200716845;;;8.495761937244202;8.17;;;;8.885424133811231
2011-09-30;;9.069685185185184;;;;;8.415439814814816;;;;;11.168961805555556;;11.069113425925927;10.895020640432099;10.803339699074074;;;10.494935956790123;;;9.35372800925926;9.16500309071241;;;;9.8653125
2011-10-31;;8.793070116487455;;;;;7.37603046594982;;;;;9.7605813172043;;8.861586021505376;9.018432272998805;8.950680443548386;;;8.889490740740742;;;9.15346480472298;8.324018070489844;;;;8.310201612903226
2011-11-30;;9.008090277777777;;;;;8.00912037037037;;;;;9.166966435185186;;8.772358796296297;8.251686535493826;8.990327546296296;;;8.976820216049383;;;9.32464948932219;8.445667979942694;;;;8.158163580246914
2011-12-31;;8.815221774193548;;;;;7.608;;;;;7.4856418010752686;7.773434587813619;9.10161402329749;6.836290832103451;8.941743204898446;;;9.14180630227001;;;9.157737455197132;8.50102038530466;;;;7.40417861409797
2012-01-31;;8.479774705581157;;;;;7.728642889187977;;;;;9.382163978494624;7.419307475678443;8.418602523894863;8.74921370967742;8.330056643625193;;;8.52761574074074;;;8.665745967741936;8.091268346774195;;;;8.72798237753883
2012-02-29;;7.1294170999817545;;;;;7.3609602490421455;;;;;9.064390565134099;6.165718390804598;8.360454980842912;8.775900946585532;8.321299603174603;;;8.414543422733077;;;8.088249279538905;7.529146072796935;;;;8.55844827586207
2012-03-31;;6.724464925755248;;;;;6.822760345611641;;;;;9.40099350358423;6.4389397721454165;8.740646654719235;8.518119333755006;8.5755958781362;;;8.609641577060932;;;8.293132840501793;7.3084758064516135;;;;7.977666517323775
2012-04-30;;6.935278703703704;;;;;6.554226040205703;;;;;9.355850694444444;6.609312169312169;8.742845679012346;8.432526007625272;8.660693452380952;;;8.74476311728395;;;8.553383101851852;7.584756944444444;;;;8.103174382716048
2012-05-31;;7.835141129032259;;;;;7.066572580645161;;;;;10.298531586021506;6.418503904249873;8.783053315412186;9.301279517183218;8.856987967229902;;;8.983875448028673;;;8.674408602150537;7.940870967741935;;;;8.86107825567503
2012-06-30;;7.770013293650793;;;;;7.188395899053628;;;;;9.479664351851852;6.076014880952381;9.018685956790124;9.186317917956655;8.968717592592592;;;9.029972222222222;;;8.294883101851852;7.637606266534392;;;;8.880367283950617
2012-07-31;;8.817165890616998;;;;;8.397626568100359;;;;;10.138956093189964;6.60674795186892;9.34395086618877;9.811392661761932;9.529817708333333;;;9.534477299880527;;;8.794183467741936;8.354126984126983;10.85328405017921;;;9.134336917562724
2012-08-31;;9.559762296786994;;;;;8.535958732330142;;;;;10.942018369175628;8.057447836661545;11.23122909199522;11.102281644972646;11.127171258960574;;;10.812942054958185;;;9.594488127240144;9.076039106502817;12.264625896057346;;;10.395427867383512
2012-09-30;;9.82794322089947;;;;;8.70129407616361;;;;;11.006873842592592;8.642875992063493;10.051193672839506;10.328623416179337;9.902633391203704;;;9.767881172839507;;;9.638662037037038;8.746337962962963;11.577409722222223;;;9.964404320987654
2012-10-31;;10.296506776433691;;;;;8.437187046342826;;;;;10.820621639784946;8.444634536610343;10.357099014336919;9.912201471420486;10.019643537186381;;;9.805232974910394;;;9.911003584229391;8.993493727598565;11.122990591397848;;;9.64941009557945
2012-11-30;;9.107070370370371;;;;;7.470729166666667;;;;;5.923560416666667;7.971708994708994;8.1439375;5.715335447124756;8.247616724537037;;;8.28189274691358;;;8.812428240740742;8.52344861111111;7.945933641975309;;;5.994128858024692
2012-12-31;;9.165238661428178;;;;;7.412421594982078;;;;;7.960542754736302;7.339207629288275;8.431494922341697;7.555732414874552;8.450454002389487;8.574101164483261;;8.647284199522103;;;9.013792562724014;8.443463485663083;9.214714755077658;;;7.711334565412186
2013-01-31;;8.153002900959553;;;8.085761200716846;;7.313343413978494;;;;;7.2080668362775215;7.039861111111112;8.559011101154919;6.935464045698924;8.20402423088411;7.119110663082437;;8.174616487455197;;;8.524864471326165;8.091344758064515;6.838402777777778;;7.9076097670250896;6.986850358422939
2013-02-28;;8.459486034798536;;;7.955122767857143;;7.141522817460317;;;;;9.912329365079366;6.29681888640873;9.20147404100529;9.470030602402998;8.853567708333333;8.724804067460317;;8.746640376984127;;;8.997553323412697;8.145810763888889;8.832560232426303;;9.19484871031746;9.01014632936508
2013-03-31;;7.795462675765095;;;7.605045922939068;;7.62365255376344;;;;;7.843647625448028;6.523219366039426;8.218819942254083;7.752439682065578;7.9420611185782555;7.940347222222222;;7.91594265232975;;;8.28978270609319;7.7659092741935485;7.4266945084485405;;7.867009408602151;7.835223454301075
